   ,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
750,121.93,412.23,131.83,804.27,212.67,246.23,0,104.53,2017/2/22 19:00,27694.53,11688.87,2082.53,559243.53
751,128,376.3,150.2,759.67,257.07,300.43,-0.63,107.9,2017/2/22 20:00,32460.57,14224.23,2571.13,2796205.67
752,131.77,432.97,141.33,812.67,285.47,334.03,-0.83,108,2017/2/22 21:00,34663.73,15637.57,2915.67,3355446.2
753,144.6,406.6,211.37,738.2,265.53,308.03,-0.33,105.5,2017/2/22 22:00,32549.13,14445.8,2677.2,1677724.6
754,135.79,412.14,212,718.66,175.79,200.07,0,91.59,2017/2/22 23:00,23252.41,9662.14,1696.59,2314101.76
755,88.83,429.73,170.93,720.43,70.27,78.37,0,77.1,2017/2/23,10099.2,3962.07,645.97,1118484.07
756,68.13,399.73,159.47,682.6,28.63,32.23,0,72.77,2017/2/23 1:00,4459.5,1755.87,252.73,2236965.13
757,59.67,408.33,150.47,699.67,13.73,15.37,0,67.93,2017/2/23 2:00,2299.6,961.3,114.17,3355446.2
758,57.17,365.43,159.17,674.7,9.77,11,0,63.13,2017/2/23 3:00,1705.97,737.87,77,6151648.87
759,55.63,351.6,160.6,651,9.5,10.47,0,64.8,2017/2/23 4:00,1737.47,738.17,75.33,2236965.13
760,59.2,336.97,165.03,638,11.03,12.67,-1,65.87,2017/2/23 5:00,1960.5,831.17,92.17,559243.53
761,58,396.2,149.03,677.03,11.63,13,-0.73,64.23,2017/2/23 6:00,1996.73,837.57,95.3,3
762,58.2,340.93,166.4,638.7,14.33,15.83,-1.2,65.2,2017/2/23 7:00,2488.17,1004.07,117.07,1118484.07
763,61,386.47,167.63,687.5,17.37,19.57,-1.2,64.63,2017/2/23 8:00,2700.2,1103.63,141.67,1118484.07
764,63.13,473.4,151.77,793.97,13.7,15.8,1.17,53.43,2017/2/23 9:00,2299.8,960,110.93,1118484.07
765,63.33,571.17,111.9,879.03,11.27,13.1,4.7,37.27,2017/2/23 10:00,1423.83,689.73,78.23,3
766,66.1,636.1,94.9,911.67,10.13,12.1,6.33,29.9,2017/2/23 11:00,1197.5,614.27,65.77,3
767,67.27,605.03,97.4,913.53,8.43,10.03,7.57,23.53,2017/2/23 12:00,1030.57,548.67,50.63,3
768,68.73,571.8,103,892.3,8.3,9.43,8.03,21.07,2017/2/23 13:00,988.57,537.8,47.73,3
769,70.23,524.57,110.2,913.7,7.93,8.9,9,16.13,2017/2/23 14:00,997.47,541.57,46.07,3
770,79.9,528,121.8,905.4,8.3,9.77,9,15.57,2017/2/23 15:00,1054.63,554.7,47.17,3
771,90.43,496.2,126.73,896.1,9.63,11.3,9,15.47,2017/2/23 16:00,1182.63,607.33,58.2,3
772,82.63,503.9,110.6,891.8,15.27,18.03,8.53,20.53,2017/2/23 17:00,1714.2,817.97,102.93,3
773,77.93,420.03,123.53,846.03,18.87,22.27,6.5,26.63,2017/2/23 18:00,2084.57,961.5,132.3,3
774,79.17,366.47,144.07,755.23,30.73,37.27,3.53,37.3,2017/2/23 19:00,3444.23,1488.47,233.1,3
775,74.23,361.17,139.6,746.5,39.8,51.47,1.43,47.63,2017/2/23 20:00,5284.6,2174.47,374.5,3
776,77.53,353.3,146.03,774.97,61.3,75.57,0.03,57.27,2017/2/23 21:00,8799.4,3477.5,588.53,559243.53
777,86.33,351.13,160.43,739.03,76.57,90.2,0,59.4,2017/2/23 22:00,11090.4,4359.9,724,559243.53
778,107.37,302.93,185.73,632,103.13,118.03,-0.63,64.33,2017/2/23 23:00,14569.57,5761.1,973.4,1118484.07
779,104.37,267.63,186.27,601.1,108.6,125.03,-1.83,75.87,2017/2/24,14197.13,5642,969.17,2236965.13
780,102.23,254.17,194.7,562.57,105.47,121.17,-2.03,81.2,2017/2/24 1:00,13802.5,5500.63,953,3
781,93.1,245.27,201.9,539.2,107.23,127.33,-3,84.67,2017/2/24 2:00,11912.23,4907.43,911.37,3
782,82.93,278,197.4,593.1,84.83,98.87,-2.6,82.33,2017/2/24 3:00,10566.57,4244.93,733.83,3
783,86.9,271,192.07,609.47,95.6,111.67,-2.43,81.8,2017/2/24 4:00,12215.27,4880.73,843.53,3
784,90.13,245.1,202.17,558.2,99.1,116.33,-3,82.3,2017/2/24 5:00,11066.7,4563.03,835.67,3
785,92.3,265.44,189.3,606.96,96.89,114.15,-2.63,81.96,2017/2/24 6:00,11810.78,4800.19,859.81,3
786,98.47,304.67,193,628.73,107.5,126.83,-2.33,81.47,2017/2/24 7:00,12124.63,4964.67,906.7,559243.53
787,122.83,254.33,218.4,562.1,137.97,160.23,-2.57,86.87,2017/2/24 8:00,16048.07,6552.13,1180.83,3
788,130.7,340.67,244.83,675.8,117.8,134.13,0.4,80.63,2017/2/24 9:00,16210.83,6403.87,1076.03,559243.53
789,155.57,406.3,267.67,800.03,139,164.53,4.3,61.53,2017/2/24 10:00,15783.87,6448.13,1189.87,3
790,134.3,437.17,258.57,896.8,91.97,113,9.07,31.1,2017/2/24 11:00,8710.4,3678.37,717.23,3
791,101.67,510.27,191.7,947.67,39.03,46.17,11.23,17.2,2017/2/24 12:00,4059.33,1749.43,289.5,3
792,101.17,497.03,171.13,916.07,33.9,40.57,11.6,16.03,2017/2/24 13:00,3605.8,1572.1,247.5,3
793,112.7,518.7,152.8,921.73,33.37,39.3,12,15.3,2017/2/24 14:00,3603.97,1557.1,243.27,3
794,108.9,582.87,126.07,945.77,24.7,29.47,12,14.2,2017/2/24 15:00,2700.7,1216.07,172.27,3
795,103.43,526.67,127.4,949.97,28.83,34.27,12,14.5,2017/2/24 16:00,3167.77,1382.7,202.73,3
796,104.83,499.2,127.53,954.03,32.43,37.93,11.57,15.13,2017/2/24 17:00,3561.33,1524.93,231.03,3
797,92.5,398.93,148.23,829,28.77,33.93,9.83,17.97,2017/2/24 18:00,3112.3,1379.43,207.63,3
798,111.23,343.67,192.03,716.33,47.67,59.9,6.87,28.27,2017/2/24 19:00,4788.13,2051.23,364.4,3
799,161.2,333.8,184.5,712.47,75.43,90.37,5.1,39.53,2017/2/24 20:00,7583.7,3177.03,597.9,3
800,109.13,351.4,176.63,719.33,84.17,101.5,3.53,48.13,2017/2/24 21:00,9064.43,3721.9,677.13,3
801,108.23,296.03,183.6,614.13,81.53,93.93,1.43,62.5,2017/2/24 22:00,11569.57,4475.13,721,3
802,108.67,306.6,188.73,619.27,90.33,104.57,0.3,66.27,2017/2/24 23:00,13189.8,5108.13,824.77,3
803,108.33,305.3,175.83,644.17,111.93,125.7,0,68.93,2017/2/25,16421.13,6339.1,1011.03,3
804,103.9,278.27,188.77,614,114.57,128.7,0,73.3,2017/2/25 1:00,16679.8,6482.07,1057.07,1677724.6
805,121.53,311.17,193.07,659.7,133.6,151.67,0,72.03,2017/2/25 2:00,18701.23,7431.7,1259.33,559243.53
806,133.57,281.17,220.03,584.6,128,144.1,0,71.33,2017/2/25 3:00,18168.53,7165.13,1189.1,1118484.07
807,126.07,267.17,220.3,574.7,124.73,142.3,-0.33,71.53,2017/2/25 4:00,17628.83,6959.9,1170.6,559243.53
808,117.93,269.5,222.2,577.83,119.47,138.03,-1,75,2017/2/25 5:00,16809,6651.47,1134,559243.53
809,117.83,237.37,233.6,517.97,125.53,144.27,-1.47,78,2017/2/25 6:00,17261.17,6871.67,1162.6,1118484.07
810,115.73,249.87,236.37,525.57,113.37,129.27,-1.63,80.03,2017/2/25 7:00,16078.63,6326.27,1051.8,559243.53
811,127.97,298.87,234.33,627.33,106.93,122.47,-0.83,77.87,2017/2/25 8:00,14955.37,5867.5,970.43,559243.53
812,140.4,402.2,240.27,800.33,97.6,114.4,3.57,61.73,2017/2/25 9:00,12428.63,4920.9,838.4,3
813,142.67,439.43,355.2,831.07,54.2,64.73,8.33,29.27,2017/2/25 10:00,5519.47,2325.1,406.9,3
814,105.07,475.67,323.1,822.67,38.93,46.4,10.9,23.17,2017/2/25 11:00,4050.03,1739.47,292.23,3
815,104.9,556.9,158.23,900.23,16.17,19.17,12.77,16,2017/2/25 12:00,1879.03,894.17,104.2,3
816,104.63,539.7,152.23,913.07,16.43,19.5,13.23,14.73,2017/2/25 13:00,1890.37,889,106.2,3
817,100.8,563.6,138.7,975,15.4,17.93,14.57,13,2017/2/25 14:00,1835.03,876.53,100.73,3
818,103.27,622.03,121.17,996.13,14.97,17.3,14.5,12.97,2017/2/25 15:00,1833.97,867.1,95.77,3
819,97.77,573.73,126.77,1001.07,13.9,15.97,15,13.37,2017/2/25 16:00,1737.43,824.27,85.6,3
820,88.57,519.87,126.47,939.77,13.1,14.63,13.33,14.17,2017/2/25 17:00,1591.87,785.17,80.6,3
821,80.57,441.73,144.2,846.13,14.6,16.37,11.7,16.63,2017/2/25 18:00,1777.4,848.47,89,3
822,81.67,378.4,151.63,773.03,26.5,30.8,8.47,28.67,2017/2/25 19:00,2856.17,1283.87,185.63,3
823,90.13,374.97,153.6,739.17,50.97,61.1,6.17,42.53,2017/2/25 20:00,5265.97,2222.77,375.73,3
824,98.7,309.47,166.43,624.8,54.57,65.17,3.53,56.6,2017/2/25 21:00,6715.67,2706.97,439.77,3
825,103.67,302.1,178.07,631.17,62.77,72.7,2.57,59.8,2017/2/25 22:00,9090.77,3489.27,535.17,3
826,93.7,300.57,178,612.67,61.93,69.37,1.37,63.07,2017/2/25 23:00,9501.53,3595.4,538.5,1118484.07
827,91.77,298.43,177.27,633.77,67.43,75.4,1,65.9,2017/2/26,10274.3,3931.47,599.17,3
828,89.27,275.67,189.57,600.57,76.77,85.63,0.4,67.67,2017/2/26 1:00,11627.13,4418.6,683.33,1118484.07
829,89.9,269.9,200,574.73,77.87,87.23,0,69.47,2017/2/26 2:00,11905.07,4528.93,684.03,1118484.07
830,91.93,247.47,213.63,525.33,80.67,90.47,0,71.7,2017/2/26 3:00,12677,4770.43,701.57,1677724.6
831,87.47,233.27,219.17,513.4,81.7,91.23,0,75.5,2017/2/26 4:00,12669.47,4757.53,704.9,1118484.07
832,90.3,242.37,217.7,534.43,90.43,101.2,0,76.37,2017/2/26 5:00,13879.77,5276.07,790.13,3
833,97.17,222.47,227.43,515.37,104.1,117.13,-0.47,77.33,2017/2/26 6:00,15851.47,6036.9,918.8,559243.53
834,111.8,238.03,217.37,537.07,111.17,124.2,-1,81.57,2017/2/26 7:00,16614.93,6380.3,990.07,3
835,138.73,238.03,245.8,554.27,129.63,145.1,-0.47,81.17,2017/2/26 8:00,19484.4,7481.6,1167.47,1677724.6
836,153.83,293.17,242.4,625,96.67,108.47,3.07,80.1,2017/2/26 9:00,13708.03,5222.77,809.43,559243.53
837,121.9,403.67,240.23,757.4,64.23,72.83,7.43,67.2,2017/2/26 10:00,6826.17,2791,467.77,3
838,119.33,454.47,255.77,834.8,44.9,51.5,10.33,45.03,2017/2/26 11:00,4856.47,2018.1,311.67,3
839,115.1,470.33,215.6,885.17,32.33,36.67,12.8,28.03,2017/2/26 12:00,3641.5,1529.53,220.23,3
840,107.33,502.2,187.9,896.37,25.37,29.23,13.67,22.33,2017/2/26 13:00,2911.83,1288.1,167.33,3
841,92.93,511.17,158.07,910.77,14.87,16.43,14.3,16.9,2017/2/26 14:00,1834.07,877.07,92.77,3
842,118.87,499,169.9,927.5,29.1,33.67,14.9,20.27,2017/2/26 15:00,3364.3,1448.83,204.77,3
843,131.5,520.4,156.87,964.07,34.93,39.67,14.53,23.37,2017/2/26 16:00,3985.87,1683.3,247.2,3
844,140.27,520.77,140,951.93,37.9,44.1,12.33,25.93,2017/2/26 17:00,4129.83,1751.7,270.4,3
845,157.27,431.13,165.3,863.07,44.13,52.47,10.43,31.77,2017/2/26 18:00,4614.7,1964.47,319.33,3
846,135.9,308,227.67,628.2,41.27,50.37,7.47,37.23,2017/2/26 19:00,4303.73,1841.17,303.33,3
847,219.37,303.13,203.5,642.17,78.7,92.8,5.77,49.67,2017/2/26 20:00,7853.77,3259.6,599.33,3
848,168.6,329.83,164.23,688.43,85.93,98.67,4.1,66.7,2017/2/26 21:00,9352.57,3791.93,671.87,3
849,132.93,316.03,159.73,658.87,71.87,79.97,3,76.83,2017/2/26 22:00,10021.63,3816.83,586.47,3
850,138.03,292.97,175.87,627.07,92.17,102.13,2.07,82.87,2017/2/26 23:00,14059.37,5262.9,775.63,3
851,132.93,272.6,187.43,603.67,101.37,110.8,1,84.9,2017/2/27,15753.43,5856.93,870,3
852,129.6,279.07,188.57,590.83,106.37,117.6,0,86.63,2017/2/27 1:00,16362.27,6166.83,930.57,3
853,117.53,275.47,199.07,579.03,101.6,111.23,0,86.17,2017/2/27 2:00,15664.4,5911.2,882.77,559243.53
854,115.03,252.8,204.73,543.8,112.1,123.07,0,87.73,2017/2/27 3:00,17266.6,6503.2,969.53,3
855,115.63,245.6,217.47,530.8,122.7,132.77,0,90,2017/2/27 4:00,18898.63,7174.63,1067.03,3
856,120.17,239.93,222.97,504.67,125.8,137.1,0,91.3,2017/2/27 5:00,19237.9,7298.6,1087.07,3
857,120.17,242.2,226.53,489.73,128.4,140.63,-0.6,92.07,2017/2/27 6:00,19436.07,7394.37,1114.27,559243.53
858,121.93,245.77,228.43,504.6,133.63,145.27,-0.97,91.5,2017/2/27 7:00,20622.1,7818.8,1158.03,559243.53
859,136.57,243.6,262.97,516.1,155.7,170.77,0,90.1,2017/2/27 8:00,23477.93,9001.07,1359.57,2236965.13
860,136.33,379.73,283.77,632.23,149.1,166.93,2.87,83.13,2017/2/27 9:00,20199.63,7871.47,1291.6,3
861,146.23,619.73,255.73,820.47,148.67,176.37,7.7,65.37,2017/2/27 10:00,13879.03,5847.4,1184.33,3
862,154.5,818.3,206.03,971.17,140,166.77,11.5,46.77,2017/2/27 11:00,12853.9,5450.03,1125.2,3
863,163.43,892.53,177.43,1015.97,139.13,169.4,14.03,36.6,2017/2/27 12:00,13231.9,5561.7,1129.93,3
864,174.87,882.43,171.4,1031.93,124.17,149.33,15.6,29.37,2017/2/27 13:00,12373.77,5119.17,1010,3
865,173.87,902.57,165.03,1059.8,99.47,118.23,16.8,23.07,2017/2/27 14:00,10447.7,4243.47,801.3,3
866,159,845.57,136.93,1064.03,82.33,96.5,17,18.53,2017/2/27 15:00,8730.47,3558.77,655.53,3
867,136.28,810.72,118.59,1098.21,58.66,69.07,17,15.55,2017/2/27 16:00,6453.52,2635.66,447.34,3
868,122.07,801.43,110.9,1042.57,56.5,68.07,16.27,16.73,2017/2/27 17:00,6139.2,2531.87,434.13,3
869,120.6,521,158.67,890.77,65.73,78.33,14.3,22.2,2017/2/27 18:00,7131.27,2923.13,514.3,3
870,122.83,386.03,189.97,753.13,81.8,98.9,10.8,30.43,2017/2/27 19:00,8113.43,3390.63,634.7,3
871,107.93,318.17,200.37,654.03,91.97,111.1,7.8,40.37,2017/2/27 20:00,9014.93,3767.83,733.43,3
872,124.03,337.1,205.63,681.77,120.53,143.97,6,48.83,2017/2/27 21:00,11742.73,4895.37,957.9,3
873,122.93,321.97,204.9,705.9,130.93,157.37,5.6,49.83,2017/2/27 22:00,12891,5359.13,1050.73,3
874,129.9,299.2,213.63,636.93,139.93,164.97,4.8,53.67,2017/2/27 23:00,14044.43,5856.8,1141.93,3
875,137.27,281.53,216.1,598.53,174.27,201.27,3.5,61.13,2017/2/28,19838.97,8094.53,1488.73,3
876,135.53,288.87,219.43,604.9,171.63,195.27,3,64.93,2017/2/28 1:00,21066.6,8483.33,1488.23,3
877,122.47,278.6,217.33,598.87,154.13,174.97,3,65.83,2017/2/28 2:00,19335.47,7712.43,1339.73,3
878,107.3,282.7,219.17,591.27,136.93,154.5,3,66.23,2017/2/28 3:00,17412.5,6859.33,1182.7,3
879,105.4,267.97,219.6,581.87,137.9,154,3,72.03,2017/2/28 4:00,16820.93,6643.07,1167.07,3
880,96.43,297.03,205.33,613.97,126.43,143.9,3.43,78.13,2017/2/28 5:00,14885.37,5950.67,1065.13,3
881,97.9,256.8,224.2,566.63,132.1,150.1,3.23,78.03,2017/2/28 6:00,14352.9,5796.8,1088.53,3
882,106.13,244.4,211.8,536.67,136.87,152.27,1.97,83.7,2017/2/28 7:00,18893.37,7292.8,1203.5,3
883,118.67,269.57,205.57,601.6,152.73,170.9,2.1,88.07,2017/2/28 8:00,20887.8,8119.83,1343.9,3
884,113.27,308.5,210.2,669.87,140.97,161.63,4.47,85.6,2017/2/28 9:00,15625.77,6292,1182.53,3
885,122.2,474.33,221.67,861.07,126.73,150.07,9.2,65.67,2017/2/28 10:00,11817.47,4957.23,1003.33,3
886,148.7,453.17,273.77,886.1,128.17,151.7,12.6,43.83,2017/2/28 11:00,12558.1,5206.2,1021.73,3
887,207.07,585.43,265.17,1003.7,136.33,163.27,14.53,29.83,2017/2/28 12:00,13717.63,5655,1097.83,3
888,312.73,700.17,197.5,1135.2,135.87,161.37,15.27,24.77,2017/2/28 13:00,13830.37,5688.4,1099.53,3
889,302.97,794.23,154.8,1170.97,89.43,108.27,15.37,18.83,2017/2/28 14:00,9143.77,3818.5,725.97,3
890,178.9,646.13,137.07,1055.27,41.77,49.6,15.07,14.43,2017/2/28 15:00,4419.23,1908,327.73,3
891,173.77,569.43,152.07,1021.67,33.63,39.87,15,14.03,2017/2/28 16:00,3663.93,1588.1,253.4,3
892,151.7,446.13,163.43,908.47,29.1,34.1,14,15.63,2017/2/28 17:00,3198.8,1412.43,216.6,3
893,124.2,369.67,183.23,784.13,25.2,30.17,12,21.9,2017/2/28 18:00,2699.4,1225.63,183.6,3
894,129.67,364.9,183.43,786.93,42.07,52.17,10.13,26.63,2017/2/28 19:00,4204.8,1837.87,327.87,3
895,140.47,342,201.6,685.57,59,74.33,8.7,34.2,2017/2/28 20:00,5697.37,2448.5,467.43,3
896,159.73,327.6,194.3,677.33,76.5,95.07,7.4,43.47,2017/2/28 21:00,7367.57,3128.1,608.2,3
897,161.7,320.63,203.43,689.77,90.13,111.47,6.73,48.6,2017/2/28 22:00,8612,3659.57,724.03,3
898,171.07,315.37,208.87,680.2,116.1,140.3,5.8,50.6,2017/2/28 23:00,11097.07,4672.07,935.93,3
899,189.37,342.73,196.7,752.83,142.47,172.33,5,54.57,2017/3/1,13586.8,5737.27,1168.83,3
900,192.79,331.72,205.07,734.21,155.34,183.69,4.9,56.52,2017/3/1 1:00,15129.17,6352.14,1287.17,3
901,188.77,306.4,204.93,676.97,164.77,191.23,3.7,60.27,2017/3/1 2:00,17440.5,7205.97,1395.37,3
902,187.96,303.12,212.04,663.64,163,187.96,3,62.84,2017/3/1 3:00,19987.72,8055.8,1457.24,3
903,177.33,341.93,231.57,724.9,137.27,157.27,3.37,56.9,2017/3/1 4:00,16405.57,6616.87,1204.37,3
904,180.4,298.5,254.23,622.53,135.3,154.3,3.33,57.27,2017/3/1 5:00,15667.87,6332.53,1150.93,3
905,175.87,287.53,221.03,575.63,132.27,148.27,2.8,65.97,2017/3/1 6:00,17485.3,6840.6,1155.97,3
906,92.2,435.47,147.47,590.93,150.9,171.67,3.6,99,2017/3/1 7:00,19627.57,7993.8,1400.33,3
907,56.47,639.83,97.4,764.9,17.07,23.47,3,79.7,2017/3/1 8:00,2186.27,1064.63,173.13,3
908,59.3,696.77,93.1,809.87,10.77,15.93,3,62.23,2017/3/1 9:00,1316.73,694.53,96.53,3
909,64.4,630.87,106.97,807.4,9.87,14.83,4.07,51.53,2017/3/1 10:00,1271.8,676.27,83.93,3
910,66.17,423.07,120.33,621.83,24.77,27.57,3,92.3,2017/3/1 11:00,3746.53,1491.3,186.77,3
911,65.67,487.1,112.43,721.07,22.77,24.33,4.1,105.07,2017/3/1 12:00,3177.67,1314.53,162.9,3
912,70.03,610.1,111.33,944.37,12.87,14.07,7.7,63.87,2017/3/1 13:00,1472.27,731.83,78.9,3
913,71.77,717.23,109.87,1012.3,9.47,11,9.47,23.57,2017/3/1 14:00,1139.67,613.63,53.1,3
914,70.03,689.8,98,945.9,8.33,10.63,10,9,2017/3/1 15:00,974.3,558.03,47.27,3
915,67.33,771.33,83.57,969.53,8.03,10.07,9.1,7.23,2017/3/1 16:00,928.73,542.17,45.8,3
916,64.65,690.88,81.46,930.04,8,10.73,8.04,7.5,2017/3/1 17:00,945.77,541.31,48.85,3
917,63.13,595.37,87.37,883.33,8.37,10.63,6.57,7.7,2017/3/1 18:00,1001.57,558.67,49.27,3
918,60.57,458.6,110.77,791.47,11.6,14.53,4.53,11,2017/3/1 19:00,1439.6,716.6,81,3
919,57.77,302.1,171.57,641.93,10.13,12.1,2.87,16.63,2017/3/1 20:00,1520.37,713.07,75.27,3
920,63.1,284.8,225.2,580.6,15.67,19.07,1.97,20.13,2017/3/1 21:00,2430.3,1043.43,133.2,3
921,68.67,390.7,148.43,699.07,17.53,20.6,2.23,18.33,2017/3/1 22:00,2697.67,1145.13,147.57,3
922,59.87,355.7,156.9,655.83,15.17,18.07,1.3,20.93,2017/3/1 23:00,2389.83,1019.47,129.6,3
923,57.23,320.07,164.77,652.77,12.13,14.63,0.7,21.57,2017/3/2,1951.2,865.33,103.37,3
924,57.43,269.4,184.1,605.23,13.6,16.33,-0.2,27.1,2017/3/2 1:00,2222.93,952.7,115.33,3
925,54.93,258.83,184.17,649.33,16.33,20.03,-1.23,32.53,2017/3/2 2:00,2370.13,1024.83,138.37,559243.53
926,54.53,254.07,200.43,564.63,16.77,22.2,-1.37,36.3,2017/3/2 3:00,2414.5,1060.37,159.43,1118484.07
927,55.5,236.33,224.07,511.1,17,22.7,-2,41.73,2017/3/2 4:00,2350.97,1048,160.33,3
928,58.93,202.9,231.2,454.83,21.73,28.17,-3.23,56.9,2017/3/2 5:00,2650.3,1161.43,181.27,3
929,63.63,224.07,206.13,500.57,31.4,40,-4,60.43,2017/3/2 6:00,3251.03,1430.07,250.17,3
930,69.17,213.1,211.97,478.93,40.8,49.87,-4.57,64.3,2017/3/2 7:00,4275.27,1834.37,322.87,3
931,79.07,267.37,243.5,535.37,61.63,74.93,-2.7,60.5,2017/3/2 8:00,7274.6,2975.07,530.37,3
932,74.5,494.77,222.5,699.4,33.93,41.43,1.5,33.57,2017/3/2 9:00,4998.5,2025.83,313.83,559243.53
933,71.73,724.13,115.33,837.43,18.47,23.7,5.77,16.03,2017/3/2 10:00,2068.97,977.4,138.7,3
934,73.73,833.17,91.83,903.27,17.07,22.67,8.43,12.03,2017/3/2 11:00,1823.47,886.57,124.97,3
935,83.13,740.63,95.27,881.8,19.2,24.37,10.2,11.13,2017/3/2 12:00,2030.37,967.63,139.9,3
936,84.5,789.53,88.4,917.23,16.63,22.27,11.63,9.7,2017/3/2 13:00,1780.9,881.07,116.47,3
937,88.5,839.17,86.67,978.83,15.5,20.9,13.6,9.1,2017/3/2 14:00,1705.77,848.37,117.53,3
938,86.6,889.57,82.4,999.93,13.13,18.17,14.37,8.3,2017/3/2 15:00,1514.3,773.03,92.03,3
939,84.48,951.04,80.74,1031.19,12.33,16.63,15,8.48,2017/3/2 16:00,1433.22,739.07,88.11,3
940,84.59,901.28,79.41,1004.34,14.52,19.21,14.14,9.76,2017/3/2 17:00,1651.9,829.34,105.66,3
941,80.47,745.63,89.07,940.67,14.97,20.13,12.53,12.4,2017/3/2 18:00,1724.9,843.63,107,3
942,79.3,489.93,126.7,778.33,24.6,32.87,9.8,18.33,2017/3/2 19:00,2645.57,1204.27,184.43,3
943,78.23,432.7,143.73,704.63,36.97,46.23,7.47,25.33,2017/3/2 20:00,3817.47,1642.2,275.9,3
944,74.87,484.7,132.23,726.53,35.37,44.13,6.07,29.37,2017/3/2 21:00,3685.03,1599.37,266.97,3
945,72.13,471.1,137.47,718.6,33.3,43.03,6,31.8,2017/3/2 22:00,3557.77,1549.6,254.07,3
946,70.6,461,140.93,689.87,35.37,45.5,5.13,34.47,2017/3/2 23:00,3778.23,1632.37,272.6,3
947,70.73,431.6,141,689.4,37.2,47.23,4.33,37.4,2017/3/3,4175.8,1765.13,295.17,3
948,71.7,404.3,146.43,665.57,39.7,49,4,39.27,2017/3/3 1:00,4768.87,1971.47,321.3,3
949,71.07,327.53,169.57,596.33,38.9,46.77,3.3,43.33,2017/3/3 2:00,5176.77,2082.53,335.2,3
950,70.37,289.3,179.53,568.3,37.93,45.83,2,50.97,2017/3/3 3:00,5774.67,2257.63,344,3
951,71.87,273.6,185.47,586.1,40.03,47.13,1.63,54.83,2017/3/3 4:00,6138.27,2385.7,362.13,3
952,72.67,289.53,184.77,591.87,43.73,51.63,1,59.27,2017/3/3 5:00,6707.27,2584.8,392.2,559243.53
953,73.67,262.13,191.7,556.33,46.97,55.13,0.5,62.93,2017/3/3 6:00,7297.13,2786.9,424.4,1118484.07
954,71.23,248.23,190.53,552.47,54.03,62.33,0,70.03,2017/3/3 7:00,8657.93,3226.9,474.57,3355446.2
955,74.47,261.4,218.87,542.43,53.57,62.27,0.47,74.37,2017/3/3 8:00,8371.3,3156.27,471.63,559243.53
956,80.37,376.97,195.9,669.4,49.9,60.33,4.33,62.97,2017/3/3 9:00,6305.43,2535.1,421.17,3
957,90.5,489,163.97,761.8,53.43,67.1,8.17,43.8,2017/3/3 10:00,5308.2,2258.2,405.5,3
958,102.4,626.07,139.33,847.37,53.33,66.97,10.87,33.03,2017/3/3 11:00,5393,2293.3,408,3
959,115.5,561.5,155.73,900.9,53.97,67.23,13.4,26.33,2017/3/3 12:00,5704.4,2366.63,414.77,3
960,131.23,462.7,185.87,896.43,55.5,68.87,15.67,21.4,2017/3/3 13:00,6085.47,2479.73,419.4,3
961,139.6,552,179.9,941.6,59.57,73.03,16.7,21.03,2017/3/3 14:00,6688.13,2711.9,457.37,3
962,120.17,638.07,122.3,986.03,65.13,80.3,13.7,28.37,2017/3/3 15:00,6887.73,2829.8,498.2,3
963,121.83,722.83,99.33,1022.23,69,84.3,12.3,30.77,2017/3/3 16:00,7145.57,2963.43,528.47,3
964,116.73,693.8,72.93,927.7,85.93,100.9,8.23,61.47,2017/3/3 17:00,8572.23,3576.3,660.57,3
965,105.27,583.9,81.23,908.7,99.1,112.43,5.27,84.83,2017/3/3 18:00,10831.5,4360.23,773,3
966,94.13,528.23,94.2,834.03,88.5,101.2,3.47,95.6,2017/3/3 19:00,12782.5,4835.6,744.67,3
967,85.97,478.97,99.43,806.07,84.53,95.77,3,101.1,2017/3/3 20:00,13210.13,4928.53,730.77,3
968,85.13,433.93,113.6,783.43,88.57,100.33,2,103.8,2017/3/3 21:00,13831.57,5171.6,766.07,3
969,83.47,375.4,125.7,751.4,88.53,99.67,2,106.3,2017/3/3 22:00,13673.27,5122.9,763.47,3
970,80.83,337.5,140.17,681.97,88.7,99.8,2,107.5,2017/3/3 23:00,13853.4,5198.1,765.7,3
971,83.43,322.53,145.63,685.8,88.83,99.8,1.7,105.53,2017/3/4,13822.83,5164.23,761.07,559243.53
972,83.53,290.6,163.1,612.5,95.43,108,0.93,106.4,2017/3/4 1:00,14975.93,5617.33,833.77,1118484.07
973,82.27,251.37,183.47,546.5,106.3,120.77,0,108.53,2017/3/4 2:00,16291.57,6222.67,949.97,3355446.2
974,84.47,254.5,173.27,559.97,124.8,141.3,0,109,2017/3/4 3:00,19005.03,7309.2,1107.4,3355446.2
975,81.23,259.87,179.5,570.33,125.43,141.33,0,109,2017/3/4 4:00,19327.53,7365.97,1097.37,2796205.67
976,68.97,266.67,167.63,586.17,109.17,120.73,0,108,2017/3/4 5:00,17253.33,6439.27,931.87,1677724.6
977,63.07,269.37,167.33,578.73,100.97,111.37,0,108,2017/3/4 6:00,16235.3,6020,850.87,559243.53
978,60.07,263.87,160.03,580.2,98.03,106.9,0,108.13,2017/3/4 7:00,15935.23,5851.57,807.03,1118484.07
